Timestamp,initials_extractor,study_id,author_year,paper_title,publication_year,Journal,Journal_Citation_Report_Category,Journal_Category_Allocated_Broad,DOI,total_included_studies,CEESAT2_1.1,CEESAT2_2.1,protocol_database,CEESAT2_3.1,CEESAT2_3.2,CEESAT2_4.1,CEESAT2_4.2,CEESAT2_4.3,database_search,CEESAT2_5.1,CEESAT2_5.2,rob_assessment_method,CEESAT2_6.1,CEESAT2_6.2,CEESAT2_6.3,software_analysis,CEESAT2_7.1,effect_size,CEESAT2_7.2,CEESAT2_7.3,heterogeneity_assessment_method,sensitivity_analysis_method,bias_assessment_type,bias_assessment_method,bias_assessment_visualization,visualization_method,reporting_standards_type,reporting_guideline_provided,literature_screening_flowchart,CEESAT2_8.1,policy_title,policy_year,policy_author,policy_category,policy_source,link
9/28/2022 13:52:06,km,s_008,canosancho_2017,"Association between Exposure to <i>p,p</i> ?-DDT and Its Metabolite <i>p,p</i> ?-DDE with Obesity: Integrated Systematic Review and Meta-Analysis",2017,Environmental Health Perspectives,"TOXICOLOGY - SCIE/ PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE/ ENVIRONMENTAL SCIENCES - SCIE",Environmental Science,10.1289/EHP527,7,Gold,Red,NA,Amber,Amber,Green,Red,Amber,"Scopus, Embase, Medline",Green,Red,NTP/OHAT,Amber,Red,Amber,Stata,Amber,Risk ratio,Amber,Amber,I squared,Not reported,Publication bias,Egger's regression,Funnel plot,Forest plot,"GRADE guideline, NTP/OHAT guideline",No,Yes,Green,"Toxicological profile for DDT, DDE, and DDD",2022,Centers for Disease Control and Prevention (CDC),NA,Altmetric,NA
9/28/2022 14:02:12,km,s_009,frampton_2006,EFFECTS OF PESTICIDES ON SOIL INVERTEBRATES IN LABORATORY STUDIES: A REVIEW AND ANALYSIS USING SPECIES SENSITIVITY DISTRIBUTIONS,2006,Environmental Toxicology and Chemistry,ENVIRONMENTAL SCIENCES - SCIE/ TOXICOLOGY - SCIE,Toxicology,10.1897/05-438R.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pesticides residues in European agricultural soils,2023,The Publications Office of the European Union,NA,Altmetric,https://op.europa.eu/en/publication-detail/-/publication/80f635cf-1c73-11ee-806b-01aa75ed71a1/language-en
9/28/2022 14:02:12,km,s_009,frampton_2006,EFFECTS OF PESTICIDES ON SOIL INVERTEBRATES IN LABORATORY STUDIES: A REVIEW AND ANALYSIS USING SPECIES SENSITIVITY DISTRIBUTIONS,2006,Environmental Toxicology and Chemistry,ENVIRONMENTAL SCIENCES - SCIE/ TOXICOLOGY - SCIE,Toxicology,10.1897/05-438R.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Global assessment of the impact of plant protection products on soil functions and soil ecosystems,2023,Food and Agriculture Organization of the United Nations (FAO),NA,Altmetric,https://openknowledge.fao.org/items/116deb6d-6c27-4336-b4de-924e2a6faa80
9/28/2022 14:02:12,km,s_009,frampton_2006,EFFECTS OF PESTICIDES ON SOIL INVERTEBRATES IN LABORATORY STUDIES: A REVIEW AND ANALYSIS USING SPECIES SENSITIVITY DISTRIBUTIONS,2006,Environmental Toxicology and Chemistry,ENVIRONMENTAL SCIENCES - SCIE/ TOXICOLOGY - SCIE,Toxicology,10.1897/05-438R.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chapter 4/12: Environmental and Health Effects of Pesticide Use,2022,United Nations Environment Programme (UNEP),NA,Altmetric,https://wedocs.unep.org/handle/20.500.11822/40353
9/28/2022 14:02:12,km,s_009,frampton_2006,EFFECTS OF PESTICIDES ON SOIL INVERTEBRATES IN LABORATORY STUDIES: A REVIEW AND ANALYSIS USING SPECIES SENSITIVITY DISTRIBUTIONS,2006,Environmental Toxicology and Chemistry,ENVIRONMENTAL SCIENCES - SCIE/ TOXICOLOGY - SCIE,Toxicology,10.1897/05-438R.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Global assessment of the impact of plant protection products on soil functions and soil ecosystems,2017,Food and Agriculture Organization of the United Nations (FAO),NA,Altmetric,https://openknowledge.fao.org/home
9/28/2022 14:02:12,km,s_009,frampton_2006,EFFECTS OF PESTICIDES ON SOIL INVERTEBRATES IN LABORATORY STUDIES: A REVIEW AND ANALYSIS USING SPECIES SENSITIVITY DISTRIBUTIONS,2006,Environmental Toxicology and Chemistry,ENVIRONMENTAL SCIENCES - SCIE/ TOXICOLOGY - SCIE,Toxicology,10.1897/05-438R.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The usefulness of total concentrations and pore water concentrations of pesticides in soil as metrics for the assessment of ecotoxicological effects,2009,European Food Safety Authority (EFSA),NA,Altmetric,https://www.efsa.europa.eu/en/efsajournal/pub/922
9/28/2022 14:02:12,km,s_009,frampton_2006,EFFECTS OF PESTICIDES ON SOIL INVERTEBRATES IN LABORATORY STUDIES: A REVIEW AND ANALYSIS USING SPECIES SENSITIVITY DISTRIBUTIONS,2006,Environmental Toxicology and Chemistry,ENVIRONMENTAL SCIENCES - SCIE/ TOXICOLOGY - SCIE,Toxicology,10.1897/05-438R.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Environmental risk limits for lambda-cyhalothrin,2008,Rijksinstituut voor Volksgezondheid en Milieu (RIVM),NA,Altmetric,https://www.rivm.nl/publicaties/environmental-risk-limits-for-lambda-cyhalothrin
9/28/2022 14:02:12,km,s_009,frampton_2006,EFFECTS OF PESTICIDES ON SOIL INVERTEBRATES IN LABORATORY STUDIES: A REVIEW AND ANALYSIS USING SPECIES SENSITIVITY DISTRIBUTIONS,2006,Environmental Toxicology and Chemistry,ENVIRONMENTAL SCIENCES - SCIE/ TOXICOLOGY - SCIE,Toxicology,10.1897/05-438R.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Revised proposal for the risk assessment of persistence of plant protection products in soil,2008,Rijksinstituut voor Volksgezondheid en Milieu (RIVM),NA,Altmetric,https://www.rivm.nl/publicaties/revised-proposal-for-risk-assessment-of-persistence-of-plant-protection-products-in
9/28/2022 14:02:12,km,s_009,frampton_2006,EFFECTS OF PESTICIDES ON SOIL INVERTEBRATES IN LABORATORY STUDIES: A REVIEW AND ANALYSIS USING SPECIES SENSITIVITY DISTRIBUTIONS,2006,Environmental Toxicology and Chemistry,ENVIRONMENTAL SCIENCES - SCIE/ TOXICOLOGY - SCIE,Toxicology,10.1897/05-438R.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Evaluation of the 2006 proposal for risk assessment of persistence of plant protection products in soil,2008,Rijksinstituut voor Volksgezondheid en Milieu (RIVM),NA,Altmetric,https://www.rivm.nl/publicaties/evaluation-of-2006-proposal-for-risk-assessment-of-persistence-of-plant-protection
9/28/2022 14:10:49,km,s_010,fu_2020,The association between environmental endocrine disruptors and cardiovascular diseases: A systematic review and meta-analysis,2020,Environmental Research,"ENVIRONMENTAL SCIENCES - SCIE/ PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE",Environmental Science,10.1016/j.envres.2020.109464,29,Green,Red,NA,Amber,Amber,Amber,Red,Amber,"Web of Science, PubMed, ScienceDirect, EBSCO",Green,Red,Newcastle Ottawa scale,Amber,Amber,Red,Stata,Amber,Odds ratio,Green,Amber,"I squared, Q statistic",Leave one out analysis,Publication bias,"Egger's regression, Begg's test",Not reported,Forest plot,PRISMA,NA,Yes,Green,NA,NA,NA,NA,NA,NA
9/28/2022 14:25:11,km,s_011,hernandezmariano_2020,Exposure to the pesticide DDT and risk of diabetes and hypertension: Systematic review and meta-analysis of prospective studies,2020,International Journal of Hygiene and Environmental Health,"INFECTIOUS DISEASES - SCIE/ PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE",Environmental Science,10.1016/j.ijheh.2021.113865,23,Amber,Red,NA,Green,Amber,Amber,Red,Amber,"Web of Science, PubMed, EBSCO, Scielo",Green,Red,Newcastle Ottawa scale,Amber,Amber,Red,Stata,Amber,Odds ratio,Amber,Amber,"I squared, Q statistic",Not reported,Publication bias,Egger's regression,Funnel plot,Forest plot,PRISMA,No,Yes,Amber,NA,NA,NA,NA,NA,NA
9/28/2022 14:34:48,km,s_012,khanjani_2007,Systematic Review and Meta-analysis of Cyclodiene Insecticides and Breast Cancer,2007,Journal of Environmental Science and Health Part C,ENVIRONMENTAL SCIENCES - SCIE/ ONCOLOGY - SCIE/ TOXICOLOGY - SCIE,Environmental Science,10.1080/10590500701201711,21,Amber,Red,NA,Green,Amber,Green,Red,Red,"PubMed, Embase",Red,Red,Not reported,Red,Red,Red,Stata,Amber,"Odds ratio, Ratio of means",Amber,Amber,Q statistic,Not reported,Not reported,Not reported,Not reported,Forest plot,Not reported,NA,No,Red,NA,NA,NA,NA,NA,NA
9/28/2022 14:46:00,km,s_013,odutola_2021,A systematic review and meta-analysis of occupational exposures and risk of follicular lymphoma,2021,Environmental Research,"ENVIRONMENTAL SCIENCES - SCIE/ PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE",Environmental Science,10.1016/j.envres.2021.110887,58,Amber,Gold,prospero,Green,Amber,Amber,Amber,Amber,"Web of Science, Embase, Medline",Amber,Gold,Newcastle Ottawa scale,Amber,Amber,Green,Stata,Amber,Odds ratio,Gold,Amber,"I squared, Q statistic",Leave one out analysis,Not reported,Not reported,Not reported,Forest plot,PRISMA,Yes,Yes,Green,NA,NA,NA,NA,NA,NA
9/28/2022 15:01:57,km,s_014,santana_2022,A meta-analytic review of fish antioxidant defense and biotransformation systems following pesticide exposure,2022,Chemosphere,ENVIRONMENTAL SCIENCES - SCIE,Environmental Science,10.1016/j.chemosphere.2021.132730,204,Green,Red,NA,Green,Amber,Green,Red,Amber,"Web of Science, PubMed",Red,Red,Not reported,Green,Red,Red,R,Amber,"Log response ratio,
 Log coefficient variation ratio",Amber,Amber,I squared,Not reported,"Publication bias, Time-lag bias",Egger's regression,"Funnel plot, Trim and fill",Forest plot,NA,NA,Yes,Green,NA,NA,NA,NA,NA,NA
9/28/2022 15:07:28,km,s_015,tang_2014,Exposure to Organochlorine Pollutants and Type 2 Diabetes: A Systematic Review and Meta-Analysis,2014,PLoS one,MULTIDISCIPLINARY SCIENCES - SCIE,Multidisciplinary,10.1371/journal.pone.0085556,23,Red,Red,NA,Amber,Amber,Amber,Red,Amber,"Web of Science, Medline",Green,Red,Downs and Black,Amber,Amber,Red,RevMan,Amber,Odds ratio,Green,Amber,"I squared, Q statistic",Leave one out analysis,Publication bias,Not reported,Funnel plot,Forest plot,PRISMA,Yes,Yes,Amber,"Toxicological profile for DDT, DDE, and DDD",2022,Centers for Disease Control and Prevention (CDC),NA,Altmetric,NA
11/17/2022 11:58:16,km,s_016,cervantes_2003,Dichlorodiphenyldichloroethane burden and breast cancer risk: a meta-analysis of the epidemiologic evidence.,2003,Environmental Health Perspectives,"TOXICOLOGY - SCIE/ PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE/ ENVIRONMENTAL SCIENCES - SCIE",Environmental Science,10.1289/ehp.112-1241830,22,Green,Red,NA,Red,Amber,Amber,Red,Red,"PubMed, Medline",Red,Red,Not reported,Red,Amber,Red,Stata,Amber,Odds ratio,Amber,Amber,Q statistic,Not reported,Publication bias,Begg's test,Not reported,Forest plot,Not reported,NA,No,Red,NA,NA,NA,NA,NA,NA
11/17/2022 14:14:39,km,s_017,sun_2022,Prenatal exposure to endocrine-disrupting chemicals and thyroid function in neonates: A systematic review and meta-analysis.,2022,Ecotoxicology and Environmental Safety,TOXICOLOGY - SCIE/ ENVIRONMENTAL SCIENCES - SCIE,Toxicology,10.1016/j.ecoenv.2022.113215,32,Amber,Gold,prospero,Green,Amber,Amber,Red,Gold,"PubMed, Embase, Cochrane",Gold,Gold,Robins-I,Amber,Amber,Gold,Stata,Amber,Beta regression,Gold,Amber,"I squared, Q statistic",Leave one out analysis,Publication bias,Not reported,Funnel plot,Forest plot,PRISMA,No,No,Green,NA,NA,NA,NA,NA,NA
11/17/2022 14:53:04,km,s_018,schinasi_2014,Non-Hodgkin lymphoma and occupational exposure to agricultural pesticide chemical groups and active ingredients: a systematic review and meta-analysis.,2014,International journal of environmental research and public health,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE/ ENVIRONMENTAL SCIENCES - SCIE/ PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI",Environmental Science,10.3390/ijerph110404449,44,Amber,Red,NA,Amber,Amber,Green,Red,Amber,"Web of Science, PubMed",Red,Red,Not reported,Green,Amber,Red,Not reported,Amber,Risk ratio,Amber,Amber,I squared,Not reported,NA,NA,NA,NA,NA,NA,No,Green,Joint FAO/WHO Meeting on Pesticide Residues,2023,Food and Agriculture Organization,NA,Altmetric,NA
11/17/2022 14:53:04,km,s_018,schinasi_2014,Non-Hodgkin lymphoma and occupational exposure to agricultural pesticide chemical groups and active ingredients: a systematic review and meta-analysis.,2014,International journal of environmental research and public health,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE/ ENVIRONMENTAL SCIENCES - SCIE/ PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI",Environmental Science,10.3390/ijerph110404449,44,Amber,Red,NA,Amber,Amber,Green,Red,Amber,"Web of Science, PubMed",Red,Red,Not reported,Green,Amber,Red,Not reported,Amber,Risk ratio,Amber,Amber,I squared,Not reported,NA,NA,NA,NA,NA,NA,No,Green,"NRDC Comments to EPA on Glyphosate Proposed Interim Registration Review Decision (PID), 2019 (PDF)",2023,Natural Resources Defense Council (NRDC),NA,Altmetric,NA
11/17/2022 14:53:04,km,s_018,schinasi_2014,Non-Hodgkin lymphoma and occupational exposure to agricultural pesticide chemical groups and active ingredients: a systematic review and meta-analysis.,2014,International journal of environmental research and public health,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE/ ENVIRONMENTAL SCIENCES - SCIE/ PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI",Environmental Science,10.3390/ijerph110404449,44,Amber,Red,NA,Amber,Amber,Green,Red,Amber,"Web of Science, PubMed",Red,Red,Not reported,Green,Amber,Red,Not reported,Amber,Risk ratio,Amber,Amber,I squared,Not reported,NA,NA,NA,NA,NA,NA,No,Green,Toxicological profile for glyphosate : draft for public comment,2019,Centers for Disease Control and Prevention (CDC),NA,Altmetric,NA
11/17/2022 14:53:04,km,s_018,schinasi_2014,Non-Hodgkin lymphoma and occupational exposure to agricultural pesticide chemical groups and active ingredients: a systematic review and meta-analysis.,2014,International journal of environmental research and public health,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE/ ENVIRONMENTAL SCIENCES - SCIE/ PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI",Environmental Science,10.3390/ijerph110404449,44,Amber,Red,NA,Amber,Amber,Green,Red,Amber,"Web of Science, PubMed",Red,Red,Not reported,Green,Amber,Red,Not reported,Amber,Risk ratio,Amber,Amber,I squared,Not reported,NA,NA,NA,NA,NA,NA,No,Green,Towards a Pollution-Free Planet: Background Report,2019,United Nations Environment Programme,NA,Altmetric,NA
11/17/2022 14:53:04,km,s_018,schinasi_2014,Non-Hodgkin lymphoma and occupational exposure to agricultural pesticide chemical groups and active ingredients: a systematic review and meta-analysis.,2014,International journal of environmental research and public health,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE/ ENVIRONMENTAL SCIENCES - SCIE/ PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI",Environmental Science,10.3390/ijerph110404449,44,Amber,Red,NA,Amber,Amber,Green,Red,Amber,"Web of Science, PubMed",Red,Red,Not reported,Green,Amber,Red,Not reported,Amber,Risk ratio,Amber,Amber,I squared,Not reported,NA,NA,NA,NA,NA,NA,No,Green,Threats on Tap: Widespread Violations Highlight Need for Investment in Water Infrastructure and Protections,2017,Natural Resources Defense Council (NRDC),NA,Altmetric,NA
11/17/2022 14:53:04,km,s_018,schinasi_2014,Non-Hodgkin lymphoma and occupational exposure to agricultural pesticide chemical groups and active ingredients: a systematic review and meta-analysis.,2014,International journal of environmental research and public health,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE/ ENVIRONMENTAL SCIENCES - SCIE/ PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI",Environmental Science,10.3390/ijerph110404449,44,Amber,Red,NA,Amber,Amber,Green,Red,Amber,"Web of Science, PubMed",Red,Red,Not reported,Green,Amber,Red,Not reported,Amber,Risk ratio,Amber,Amber,I squared,Not reported,NA,NA,NA,NA,NA,NA,No,Green,1051. Pesticide residues in food - 2016 (JMPR Evaluations 2016 Part II Toxicological),2017,International Programme on Chemical Safety,NA,Altmetric,NA
11/17/2022 15:16:30,km,s_019,adami_1995,ORGANOCHLORINE COMPOUNDS AND ESTROGEN-RELATED CANCERS IN WOMEN,1995,Cancer Causes Control,"ONCOLOGY - SCIE/ PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE",Medicine,10.1007/BF00054165,14,Amber,Red,NA,Red,Red,Red,Red,Red,Not reported,Red,Red,Not reported,Red,Red,Red,Not reported,Amber,"Odds ratio, Ratio of means",Red,Amber,Chi square,Not reported,NA,NA,NA,NA,NA,NA,No,Red,Global assessment on the state of the science of endocrine disruptors,2012,World Health Organization (WHO),NA,Altmetric,https://iris.who.int/handle/10665/67357
11/17/2022 15:16:30,km,s_019,adami_1995,ORGANOCHLORINE COMPOUNDS AND ESTROGEN-RELATED CANCERS IN WOMEN,1995,Cancer Causes Control,"ONCOLOGY - SCIE/ PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE",Medicine,10.1007/BF00054165,14,Amber,Red,NA,Red,Red,Red,Red,Red,Not reported,Red,Red,Not reported,Red,Red,Red,Not reported,Amber,"Odds ratio, Ratio of means",Red,Amber,Chi square,Not reported,NA,NA,NA,NA,NA,NA,No,Red,"Toxicological profile for DDT, DDE, and DDD",2002,Centers for Disease Control and Prevention (CDC),NA,Altmetric,https://stacks.cdc.gov/view/cdc/6738
11/17/2022 15:16:30,km,s_019,adami_1995,ORGANOCHLORINE COMPOUNDS AND ESTROGEN-RELATED CANCERS IN WOMEN,1995,Cancer Causes Control,"ONCOLOGY - SCIE/ PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE",Medicine,10.1007/BF00054165,14,Amber,Red,NA,Red,Red,Red,Red,Red,Not reported,Red,Red,Not reported,Red,Red,Red,Not reported,Amber,"Odds ratio, Ratio of means",Red,Amber,Chi square,Not reported,NA,NA,NA,NA,NA,NA,No,Red,Toxicological profile for hexachlorobenzene,2002,Centers for Disease Control and Prevention (CDC),NA,Altmetric,https://stacks.cdc.gov/view/cdc/6739
11/17/2022 15:16:30,km,s_019,adami_1995,ORGANOCHLORINE COMPOUNDS AND ESTROGEN-RELATED CANCERS IN WOMEN,1995,Cancer Causes Control,"ONCOLOGY - SCIE/ PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE",Medicine,10.1007/BF00054165,14,Amber,Red,NA,Red,Red,Red,Red,Red,Not reported,Red,Red,Not reported,Red,Red,Red,Not reported,Amber,"Odds ratio, Ratio of means",Red,Amber,Chi square,Not reported,NA,NA,NA,NA,NA,NA,No,Red,Global assessment on the state of the science of endocrine disruptors,2002,World Health Organization (WHO),NA,Altmetric,https://iris.who.int/handle/10665/67357
